loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,Address
10762.36,60,9.04,223.62,A,A5,Business Analyst,3.0,RENT,64489.67,Source Verified,Mar-2015,Fully Paid,credit_card,Credit Card,14.0,Nov-2010,10,0,946.18,52.91,14,F,Individual,2.0,0,"Columbus, AZ"
6777.01,60,28.37,212.54,G,G5,HR Specialist,10.0,MORTGAGE,79639.35,Not Verified,Aug-2018,Fully Paid,vacation,Vacation,14.82,Aug-1987,13,0,0.0,70.77,19,W,Individual,1.0,0,"Austin, MI"
3939.52,36,13.68,134.03,C,C1,Data Scientist,5.0,MORTGAGE,43095.18,Verified,Feb-2018,Fully Paid,debt_consolidation,Debt Consolidation,13.68,Apr-1997,5,0,16829.86,47.79,11,W,Individual,3.0,0,"Seattle, VA"
25190.06,36,14.3,864.63,C,C4,Sales Associate,6.0,MORTGAGE,63369.8,Source Verified,Nov-2017,Fully Paid,credit_card,Credit Card,5.67,Jun-2007,10,0,13396.12,64.83,17,W,Individual,0.0,0,"Austin, NJ"
20581.38,36,17.52,739.08,D,D1,,,RENT,70467.46,Not Verified,Apr-2018,Fully Paid,major_purchase,Major Purchase,9.57,Aug-1988,9,0,21818.5,,22,W,Individual,,0,"Miami, AZ"
19742.56,36,13.31,668.2,C,C5,Nurse,6.0,MORTGAGE,48969.45,Source Verified,Apr-2015,Fully Paid,debt_consolidation,Debt Consolidation,20.59,Jul-2011,5,0,6091.08,59.37,11,W,Individual,0.0,0,"San Diego, CA"
1000.0,36,7.33,31.03,A,A4,Business Analyst,7.0,MORTGAGE,31205.89,Source Verified,Nov-2019,Fully Paid,vacation,Vacation,10.91,Aug-1989,13,0,0.0,75.88,17,W,Individual,0.0,0,"Austin, MI"
19604.31,36,8.5,618.85,A,A3,Project Manager,6.0,MORTGAGE,62317.21,Source Verified,Jan-2018,Fully Paid,moving,Moving,11.58,Feb-1991,11,0,11642.4,58.04,21,W,Individual,2.0,0,"Tampa, FL"
20599.53,36,21.65,782.99,F,F5,Product Manager,8.0,MORTGAGE,33053.91,Not Verified,Oct-2018,Fully Paid,vacation,Vacation,24.1,Jun-1996,11,0,18323.13,26.37,26,W,Individual,2.0,0,"Miami, IL"
12239.65,36,17.08,436.87,D,D3,Mechanic,7.0,OWN,42752.42,Not Verified,Oct-2018,Fully Paid,debt_consolidation,Debt Consolidation,26.22,Feb-1984,14,0,0.0,87.0,21,W,Individual,0.0,0,"Seattle, MA"
26988.49,36,8.39,850.62,A,A2,Operations Manager,1.0,RENT,117719.58,Not Verified,Oct-2020,Fully Paid,other,Other,23.01,Nov-1980,10,0,17050.82,46.23,17,W,Individual,0.0,0,"San Diego, NJ"
18724.87,36,23.67,731.39,F,F3,Operations Manager,4.0,RENT,92024.86,Source Verified,Oct-2015,Fully Paid,medical,Medical,9.57,Dec-2001,2,0,16861.0,54.06,6,W,Individual,2.0,0,"Chicago, NC"
15074.1,36,24.22,593.18,F,F1,Data Scientist,4.0,MORTGAGE,42985.34,Verified,Mar-2019,Charged Off,debt_consolidation,Debt Consolidation,11.52,May-1990,10,0,263.8,47.02,18,F,Individual,1.0,0,"Boston, NC"
22043.23,36,8.31,693.91,A,A2,Electrician,3.0,OWN,44601.91,Source Verified,Mar-2014,Fully Paid,home_improvement,Home Improvement,21.44,May-2003,13,0,8841.4,45.98,19,F,Individual,3.0,0,"Tampa, CA"
11107.85,36,9.69,356.82,B,B2,Warehouse Associate,5.0,RENT,20000.0,Source Verified,Dec-2015,Charged Off,vacation,Vacation,19.23,Apr-1990,7,0,9108.3,41.58,17,F,Individual,2.0,0,"San Diego, OH"
19109.73,60,16.74,472.26,D,D3,Driver,6.0,MORTGAGE,50359.87,Not Verified,May-2015,Fully Paid,other,Other,10.94,Dec-1986,7,0,18940.39,41.82,19,W,Individual,1.0,0,"Raleigh, FL"
9598.04,36,23.66,374.85,F,F3,Analyst,10.0,MORTGAGE,22166.82,Verified,Jul-2016,Fully Paid,debt_consolidation,Debt Consolidation,14.5,May-1984,13,1,19041.23,64.91,24,F,Individual,0.0,0,"Atlanta, NC"
9841.63,36,24.61,389.26,G,G5,Project Manager,6.0,RENT,66949.86,Not Verified,Oct-2016,Fully Paid,medical,Medical,8.43,Jan-1986,12,0,0.0,79.14,22,W,Individual,4.0,0,"Dallas, PA"
31849.69,36,24.61,1259.83,G,G1,Electrician,0.0,MORTGAGE,64941.29,Verified,Jan-2018,Fully Paid,other,Other,12.83,Sep-1992,11,1,23791.13,31.17,24,W,Individual,2.0,0,"Atlanta, MA"
13361.8,60,11.04,290.76,B,B1,Data Scientist,5.0,RENT,61882.52,Source Verified,Jul-2019,Fully Paid,vacation,Vacation,26.09,May-1988,7,0,31471.72,59.23,15,W,Individual,1.0,0,"Boston, NJ"
15301.91,36,7.84,478.37,A,A5,Analyst,8.0,MORTGAGE,56858.45,Verified,Jul-2020,Fully Paid,medical,Medical,32.65,Oct-2000,9,0,0.0,80.04,17,W,Individual,0.0,0,"Miami, NC"
10797.17,36,21.08,407.22,F,F2,Data Scientist,7.0,RENT,36023.5,Not Verified,Feb-2020,Fully Paid,house,House,14.79,Apr-1999,6,0,7851.18,27.37,14,W,Individual,0.0,0,"Austin, CA"
4951.36,36,15.27,172.3,C,C1,Customer Service Rep,5.0,OWN,34245.98,Source Verified,Aug-2017,Fully Paid,other,Other,25.0,Apr-1989,8,0,0.0,31.73,20,W,Individual,1.0,0,"Dallas, AZ"
24525.39,36,9.22,782.38,A,A4,Teacher,2.0,OWN,76752.3,Not Verified,Sep-2015,Fully Paid,car,Car,16.97,Feb-2009,7,0,19710.56,25.35,18,W,Individual,0.0,0,"Columbus, NC"
7982.46,36,26.88,325.36,G,G4,Mechanic,10.0,MORTGAGE,77519.53,Source Verified,Mar-2019,Fully Paid,moving,Moving,28.19,Aug-2008,16,0,1356.34,58.4,20,W,Individual,2.0,0,"Atlanta, IL"
33067.95,36,12.99,1113.96,C,C2,Data Scientist,5.0,RENT,135347.64,Verified,Jun-2018,Fully Paid,medical,Medical,14.46,Feb-1988,12,0,32848.41,56.38,19,W,Individual,5.0,0,"Seattle, VA"
16360.91,36,15.66,572.47,C,C3,Customer Service Rep,5.0,MORTGAGE,73202.72,Verified,Oct-2019,Fully Paid,vacation,Vacation,21.74,Jan-2004,14,0,11059.47,84.81,19,W,Joint,1.0,0,"Chicago, WA"
1040.03,36,24.54,41.1,F,F4,Marketing Specialist,1.0,MORTGAGE,30684.04,Not Verified,Apr-2016,Fully Paid,major_purchase,Major Purchase,20.06,Jul-2011,8,0,0.0,30.88,18,W,Individual,1.0,0,"Atlanta, WA"
9160.78,60,12.02,203.88,A,A4,Product Manager,8.0,OTHER,55571.44,Source Verified,Oct-2019,Charged Off,vacation,Vacation,30.89,Jan-1985,11,0,1983.02,76.36,17,W,Individual,3.0,1,"Raleigh, NY"
14325.85,36,9.9,461.57,B,B2,Electrician,0.0,RENT,50541.56,Not Verified,May-2020,Fully Paid,medical,Medical,4.36,Feb-2010,11,0,12449.48,25.96,21,W,Individual,2.0,0,"Phoenix, FL"
17935.99,60,21.64,491.73,E,E1,Warehouse Associate,8.0,OWN,108634.43,Verified,Mar-2015,Fully Paid,debt_consolidation,Debt Consolidation,0.59,Mar-2010,11,0,25545.83,45.87,22,W,Individual,1.0,0,"Miami, GA"
19747.52,36,20.53,739.2,E,E2,Operations Manager,3.0,OWN,61138.46,Not Verified,Feb-2018,Fully Paid,home_improvement,Home Improvement,4.99,Jan-1999,10,0,28955.8,17.03,20,W,Joint,0.0,0,"Boston, OH"
2077.68,36,10.03,67.07,A,A5,Warehouse Associate,6.0,MORTGAGE,56445.61,Verified,Feb-2020,Fully Paid,medical,Medical,19.8,Oct-1982,9,0,10369.88,52.61,16,W,Individual,2.0,0,"Phoenix, TX"
33663.66,60,11.58,741.64,B,B4,Mechanic,4.0,RENT,126381.66,Not Verified,Dec-2015,Fully Paid,renewable_energy,Renewable Energy,9.73,Jul-1991,7,1,16132.58,64.05,16,F,Joint,0.0,0,"Chicago, MI"
12631.55,36,12.47,422.38,C,C4,,,OWN,70879.75,Source Verified,Feb-2016,Fully Paid,small_business,Small Business,4.45,Aug-1995,10,0,11302.54,,15,F,Individual,,0,"Atlanta, OH"
12239.78,36,12.42,408.99,C,C3,,7.0,RENT,46306.97,Not Verified,Oct-2019,Fully Paid,small_business,Small Business,7.08,May-1980,11,0,11317.45,,15,W,Individual,,0,"Miami, VA"
31025.35,36,12.8,1042.39,C,C2,Nurse,3.0,MORTGAGE,112387.72,Source Verified,May-2015,Fully Paid,debt_consolidation,Debt Consolidation,12.3,Jul-1995,8,0,34282.03,30.52,16,W,Individual,0.0,0,"Raleigh, NC"
33270.89,36,13.99,1137.0,C,C5,Driver,10.0,MORTGAGE,99528.17,Verified,Feb-2019,Fully Paid,medical,Medical,15.58,Apr-2000,7,1,27448.76,73.73,10,W,Individual,1.0,0,"Dallas, VA"
5306.37,36,10.95,173.59,B,B4,Operations Manager,1.0,MORTGAGE,28714.9,Not Verified,Feb-2020,Fully Paid,house,House,21.67,Apr-1998,7,1,6703.16,48.59,15,W,Individual,3.0,0,"Austin, VA"
13854.44,36,12.09,460.79,B,B1,Sales Associate,4.0,MORTGAGE,100949.13,Verified,Jan-2018,Fully Paid,car,Car,10.55,May-2010,4,0,15498.84,46.35,12,W,Individual,4.0,0,"Austin, IL"
8080.01,36,14.12,276.65,C,C1,Accountant,1.0,RENT,56448.72,Not Verified,Mar-2020,Fully Paid,debt_consolidation,Debt Consolidation,13.35,Oct-1999,10,0,7061.31,73.84,17,W,Individual,1.0,0,"Columbus, WA"
12113.56,36,15.88,425.16,C,C5,,,MORTGAGE,37270.71,Source Verified,Oct-2017,Fully Paid,car,Car,11.08,May-1983,9,1,3443.49,,18,W,Individual,,0,"Dallas, FL"
30474.95,36,12.13,1014.09,B,B1,,,RENT,123768.74,Verified,Aug-2019,Fully Paid,debt_consolidation,Debt Consolidation,9.6,Oct-2010,8,0,33576.6,,15,W,Individual,,0,"Houston, IL"
27754.01,60,15.28,664.36,C,C2,Analyst,4.0,MORTGAGE,94317.09,Not Verified,Jul-2014,Fully Paid,renewable_energy,Renewable Energy,10.51,Sep-1994,10,0,14513.74,58.1,16,W,Joint,2.0,0,"Tampa, NY"
7999.95,36,7.41,248.5,A,A3,Sales Associate,4.0,OWN,27949.91,Not Verified,Aug-2019,Fully Paid,car,Car,9.18,May-2005,13,0,0.0,77.54,20,F,Individual,1.0,0,"Raleigh, GA"
22559.91,60,10.97,490.16,A,A4,Product Manager,8.0,MORTGAGE,61614.95,Verified,Oct-2014,Fully Paid,major_purchase,Major Purchase,17.11,Nov-1997,14,0,22814.91,62.62,24,W,Individual,3.0,0,"Seattle, GA"
4099.07,36,14.19,140.47,C,C3,Nurse,4.0,MORTGAGE,46589.42,Not Verified,Aug-2016,Fully Paid,car,Car,14.55,Jul-2001,12,0,23206.38,40.54,20,W,Individual,2.0,0,"Seattle, PA"
21342.87,60,15.71,515.68,C,C4,Consultant,8.0,MORTGAGE,60782.45,Source Verified,Jun-2014,Fully Paid,small_business,Small Business,15.22,Jul-2012,11,1,23268.22,46.47,20,F,Individual,1.0,0,"Tampa, NC"
8426.35,36,10.18,272.61,A,A5,Analyst,6.0,MORTGAGE,36624.01,Not Verified,May-2018,Fully Paid,debt_consolidation,Debt Consolidation,24.16,Mar-1998,10,0,12399.41,20.36,16,W,Individual,1.0,0,"San Jose, CA"
7508.48,60,18.27,191.78,D,D2,Nurse,9.0,RENT,22724.51,Verified,Apr-2020,Fully Paid,vacation,Vacation,22.23,Feb-2009,9,1,9275.59,72.47,17,F,Individual,0.0,0,"Seattle, GA"
7383.74,36,9.7,237.21,B,B3,Business Analyst,9.0,MORTGAGE,20000.0,Source Verified,Mar-2017,Fully Paid,car,Car,13.9,Apr-2012,4,0,0.0,47.68,12,F,Individual,2.0,0,"San Jose, IL"
9609.02,60,25.45,284.55,F,F3,Operations Manager,7.0,MORTGAGE,51447.2,Not Verified,Oct-2018,Fully Paid,medical,Medical,12.81,Nov-2011,12,0,4709.92,51.1,23,F,Individual,3.0,0,"Raleigh, PA"
10255.36,36,18.55,373.58,E,E4,Driver,3.0,RENT,30775.98,Verified,Oct-2017,Fully Paid,other,Other,15.85,Apr-2006,5,0,15793.54,20.94,12,W,Individual,5.0,0,"Houston, MA"
25579.78,36,11.55,844.11,B,B2,,,RENT,90636.05,Source Verified,Feb-2020,Fully Paid,house,House,15.06,Aug-1986,11,0,5634.7,,17,W,Individual,,0,"Houston, NY"
13695.91,36,18.1,495.82,D,D2,Customer Service Rep,7.0,MORTGAGE,37379.96,Verified,Nov-2014,Fully Paid,house,House,23.93,Jun-2004,8,0,24494.32,44.1,15,F,Individual,2.0,0,"San Diego, WA"
20988.09,36,14.33,720.69,C,C5,Nurse,8.0,MORTGAGE,67566.43,Not Verified,Jul-2014,Fully Paid,major_purchase,Major Purchase,18.28,Nov-1986,11,0,33174.25,37.86,20,W,Individual,2.0,0,"San Diego, CA"
26177.66,36,20.91,985.09,E,E3,Product Manager,6.0,MORTGAGE,80684.08,Verified,Nov-2020,Fully Paid,vacation,Vacation,14.73,Mar-1990,6,0,10606.59,40.76,20,W,Individual,3.0,0,"Boston, MI"
14214.29,36,14.46,489.02,C,C5,Software Engineer,10.0,MORTGAGE,71510.69,Verified,Aug-2016,Fully Paid,medical,Medical,6.15,Nov-1990,13,0,13581.1,40.62,15,W,Joint,2.0,0,"Newark, IL"
17318.35,36,15.54,604.98,C,C3,Sales Associate,3.0,RENT,27875.9,Not Verified,Apr-2017,Fully Paid,car,Car,27.87,Oct-2002,9,0,2254.62,55.53,16,W,Joint,3.0,0,"Chicago, CA"
4764.94,36,18.15,172.63,D,D3,Warehouse Associate,3.0,OWN,92031.61,Not Verified,Dec-2017,Fully Paid,debt_consolidation,Debt Consolidation,18.5,May-1994,6,0,0.0,30.76,17,W,Individual,2.0,0,"Atlanta, FL"
15963.65,36,17.07,569.72,D,D2,Mechanic,5.0,OWN,69246.33,Not Verified,Jan-2018,Fully Paid,medical,Medical,10.78,Jun-1988,7,0,5622.53,57.46,14,W,Individual,1.0,0,"Houston, OH"
5972.4,60,9.37,125.04,A,A5,Project Manager,0.0,RENT,40070.47,Source Verified,May-2020,Fully Paid,medical,Medical,9.04,Aug-1998,13,1,8299.06,59.84,17,F,Individual,1.0,0,"San Jose, GA"
12593.9,60,11.4,276.33,A,A2,HR Specialist,5.0,MORTGAGE,85598.16,Not Verified,Feb-2020,Fully Paid,moving,Moving,15.27,Jul-1980,11,0,3099.31,36.09,17,W,Individual,1.0,0,"Phoenix, NJ"
9619.36,60,11.09,209.59,B,B4,Marketing Specialist,5.0,OWN,20000.0,Verified,Jan-2018,Fully Paid,major_purchase,Major Purchase,22.83,Sep-2000,10,0,8005.56,88.91,16,F,Individual,1.0,0,"San Jose, NJ"
16250.21,36,24.52,641.97,F,F3,Operations Manager,9.0,RENT,50908.59,Verified,Aug-2014,Fully Paid,debt_consolidation,Debt Consolidation,17.18,Feb-1995,13,0,10910.79,60.84,21,F,Individual,1.0,1,"Raleigh, PA"
18653.5,36,16.58,661.19,D,D5,Sales Associate,4.0,MORTGAGE,76231.85,Verified,Aug-2018,Fully Paid,vacation,Vacation,19.66,Jul-1997,6,1,24115.31,83.07,14,W,Individual,2.0,0,"Raleigh, GA"
12993.93,60,26.0,389.08,F,F1,HR Specialist,7.0,RENT,37120.44,Not Verified,Jan-2017,Charged Off,renewable_energy,Renewable Energy,14.33,May-1992,6,0,19505.17,42.2,17,F,Joint,1.0,0,"Tampa, GA"
7814.25,60,12.63,176.34,B,B5,Product Manager,1.0,RENT,41029.79,Source Verified,Apr-2014,Fully Paid,home_improvement,Home Improvement,12.57,Sep-1993,8,0,9160.38,90.07,20,W,Individual,2.0,0,"Miami, PA"
14123.75,36,18.13,511.55,E,E5,Business Analyst,5.0,OWN,95121.2,Verified,May-2020,Fully Paid,home_improvement,Home Improvement,17.81,Mar-1987,12,0,15116.4,57.82,22,W,Individual,3.0,0,"Austin, PA"
14651.38,36,10.13,473.63,B,B3,Executive Assistant,7.0,RENT,47238.29,Verified,Feb-2019,Fully Paid,vacation,Vacation,28.01,Feb-2010,5,0,22515.72,76.99,9,W,Individual,0.0,0,"Newark, TX"
13412.08,36,9.74,431.14,B,B5,Operations Manager,2.0,MORTGAGE,57125.04,Not Verified,Aug-2019,Fully Paid,moving,Moving,15.13,Jan-1983,11,0,21531.72,47.65,23,F,Individual,3.0,0,"Boston, NJ"
22938.05,36,18.8,838.52,D,D4,Accountant,5.0,RENT,55317.88,Not Verified,May-2018,Fully Paid,credit_card,Credit Card,19.01,Nov-2000,10,0,1635.56,69.71,14,W,Individual,2.0,0,"Chicago, GA"
8906.39,60,12.23,199.16,C,C1,Analyst,0.0,MORTGAGE,52096.65,Not Verified,Jul-2017,Charged Off,other,Other,17.13,Apr-2006,10,0,16733.03,26.01,18,W,Individual,0.0,1,"Boston, VA"
4548.62,36,14.86,157.36,C,C3,Nurse,6.0,RENT,55178.84,Not Verified,Feb-2014,Charged Off,credit_card,Credit Card,21.01,Jul-1986,13,0,14541.13,45.68,17,F,Individual,2.0,0,"Seattle, NC"
18796.71,36,26.67,764.1,G,G5,Electrician,7.0,RENT,36655.56,Source Verified,Dec-2014,Fully Paid,renewable_energy,Renewable Energy,14.98,May-1999,12,0,9981.54,13.3,16,W,Individual,2.0,0,"Miami, NY"
20495.09,36,12.38,684.48,B,B1,Product Manager,5.0,MORTGAGE,106862.26,Verified,Apr-2020,Fully Paid,medical,Medical,24.58,Jul-1981,12,0,18725.42,48.69,26,W,Individual,0.0,0,"Houston, IL"
9907.63,60,12.19,221.34,B,B3,Product Manager,3.0,RENT,55950.76,Verified,Nov-2017,Fully Paid,home_improvement,Home Improvement,22.47,Feb-1989,11,0,0.0,34.27,17,F,Joint,1.0,1,"San Jose, VA"
17388.61,36,12.6,582.55,B,B4,Warehouse Associate,5.0,RENT,51034.43,Not Verified,Feb-2014,Fully Paid,house,House,12.61,Mar-1990,11,1,0.0,34.0,21,F,Individual,1.0,0,"San Jose, IL"
11825.07,36,13.39,400.65,C,C5,HR Specialist,3.0,RENT,36947.96,Not Verified,Jul-2014,Fully Paid,credit_card,Credit Card,30.17,May-2011,10,0,6722.79,65.47,18,W,Individual,5.0,0,"Miami, OH"
12392.23,36,10.78,404.39,A,A2,Operations Manager,4.0,RENT,50699.7,Verified,Jun-2014,Fully Paid,medical,Medical,6.76,Jan-2011,14,1,24865.84,44.29,24,F,Individual,2.0,0,"Boston, NC"
20254.62,36,14.04,692.67,C,C3,Mechanic,7.0,OWN,80431.03,Verified,Feb-2020,Fully Paid,debt_consolidation,Debt Consolidation,13.35,Jun-2007,12,1,19938.97,61.97,20,W,Individual,1.0,0,"Boston, IL"
19300.19,36,10.08,623.45,A,A3,HR Specialist,5.0,OWN,45833.56,Source Verified,Feb-2017,Fully Paid,other,Other,20.17,Feb-1995,14,0,11005.07,59.35,19,W,Individual,2.0,0,"San Jose, OH"
14542.11,36,18.18,527.03,D,D2,Executive Assistant,3.0,RENT,55235.18,Source Verified,Sep-2015,Fully Paid,credit_card,Credit Card,13.61,Jun-2002,8,0,9225.94,56.0,20,F,Individual,2.0,0,"Tampa, NY"
12146.42,36,10.29,393.59,A,A2,,7.0,RENT,38634.63,Not Verified,Nov-2017,Fully Paid,credit_card,Credit Card,25.16,Aug-2008,10,0,8443.8,,16,W,Individual,,0,"Atlanta, NJ"
8925.38,36,10.27,289.11,B,B3,Consultant,8.0,RENT,52953.06,Source Verified,Oct-2014,Fully Paid,medical,Medical,19.95,Jun-2012,8,0,605.0,67.29,19,W,Individual,5.0,0,"Austin, CA"
1000.0,36,12.83,33.61,B,B1,Teacher,8.0,MORTGAGE,48894.24,Source Verified,Aug-2020,Fully Paid,moving,Moving,15.17,Oct-1992,10,0,0.0,44.23,18,W,Individual,1.0,0,"Seattle, CA"
22464.05,60,20.3,598.93,E,E3,Driver,0.0,RENT,120162.45,Not Verified,Dec-2017,Fully Paid,debt_consolidation,Debt Consolidation,12.84,Aug-1990,8,0,10593.65,47.06,13,W,Joint,0.0,0,"Boston, OH"
10276.91,60,17.59,258.7,D,D1,Business Analyst,1.0,MORTGAGE,20242.72,Verified,Nov-2017,Fully Paid,credit_card,Credit Card,16.2,May-1996,10,0,7654.99,84.08,16,F,Individual,0.0,0,"San Diego, MI"
13576.08,36,9.01,431.75,B,B5,Customer Service Rep,3.0,OWN,93423.77,Source Verified,Mar-2018,Fully Paid,renewable_energy,Renewable Energy,17.52,Dec-1985,10,0,15810.67,40.52,16,W,Individual,5.0,1,"Dallas, PA"
3986.76,36,18.13,144.38,D,D5,HR Specialist,10.0,MORTGAGE,38277.55,Source Verified,May-2015,Fully Paid,debt_consolidation,Debt Consolidation,17.31,Apr-2001,13,0,0.0,57.35,22,F,Individual,2.0,0,"Miami, NY"
16781.82,36,9.3,536.04,B,B1,Teacher,5.0,MORTGAGE,87438.22,Not Verified,Nov-2016,Fully Paid,moving,Moving,28.44,Oct-1988,9,1,0.0,44.89,17,W,Individual,4.0,1,"Seattle, AZ"
15359.98,60,16.99,381.66,D,D2,Driver,3.0,RENT,60999.48,Source Verified,Aug-2018,Fully Paid,other,Other,18.45,May-2008,6,0,16613.74,45.19,14,W,Individual,2.0,0,"Dallas, WA"
11949.4,36,19.71,442.35,E,E3,,,MORTGAGE,59344.39,Source Verified,Sep-2018,Fully Paid,medical,Medical,8.96,Jul-1990,8,0,9781.13,,20,F,Individual,,0,"Seattle, AZ"
14631.8,36,16.13,515.35,D,D3,Operations Manager,8.0,RENT,54982.15,Not Verified,Feb-2020,Fully Paid,credit_card,Credit Card,18.84,Mar-1997,9,0,6951.56,68.61,21,W,Individual,2.0,0,"Tampa, OH"
26539.53,60,24.98,778.58,F,F4,Executive Assistant,1.0,OWN,95479.92,Source Verified,Jun-2015,Fully Paid,vacation,Vacation,6.06,Jul-1985,14,0,39822.09,33.4,19,W,Individual,0.0,0,"San Diego, TX"
15624.63,36,15.01,541.68,D,D2,Accountant,8.0,RENT,42741.94,Not Verified,Dec-2017,Fully Paid,other,Other,7.32,Aug-1980,9,0,20574.68,18.6,21,F,Individual,1.0,0,"Miami, AZ"
9418.71,36,24.04,369.7,F,F5,Sales Associate,9.0,RENT,60778.88,Verified,Jan-2015,Fully Paid,medical,Medical,0.0,Jul-2009,12,1,12428.96,30.75,26,W,Individual,0.0,0,"Raleigh, MI"
23036.67,36,15.94,809.22,D,D5,HR Specialist,1.0,RENT,73471.87,Source Verified,Apr-2018,Fully Paid,house,House,17.85,Jul-1991,10,0,25299.82,41.13,18,W,Individual,2.0,0,"Phoenix, TX"
15712.15,36,13.41,532.53,C,C5,Customer Service Rep,0.0,RENT,30180.11,Source Verified,Jun-2016,Fully Paid,renewable_energy,Renewable Energy,11.59,Dec-1981,8,0,22920.35,40.65,16,W,Individual,0.0,0,"Miami, VA"
24481.26,60,11.23,535.09,A,A5,Data Scientist,5.0,RENT,61998.36,Verified,Nov-2015,Fully Paid,moving,Moving,10.11,Nov-2009,12,0,10975.81,53.77,18,F,Individual,1.0,1,"Seattle, WA"
14650.9,36,17.49,525.96,D,D4,Data Scientist,0.0,RENT,33362.52,Not Verified,May-2018,Fully Paid,debt_consolidation,Debt Consolidation,21.51,Jul-2010,12,0,5214.64,49.21,22,W,Individual,2.0,0,"Miami, IL"
21367.02,36,21.36,808.95,E,E3,Mechanic,1.0,MORTGAGE,74896.94,Source Verified,Jul-2016,Fully Paid,vacation,Vacation,6.62,Mar-2011,21,0,31825.39,75.94,23,W,Individual,1.0,0,"Dallas, NC"
20483.2,36,9.86,659.55,A,A4,Operations Manager,7.0,MORTGAGE,70377.75,Not Verified,Jun-2014,Fully Paid,moving,Moving,9.09,Feb-2000,7,0,8830.72,52.62,20,W,Individual,0.0,0,"Newark, VA"
18435.54,36,16.47,652.46,D,D3,Electrician,5.0,MORTGAGE,68063.13,Not Verified,May-2019,Fully Paid,house,House,19.15,Jan-1984,13,0,14755.21,54.24,22,W,Individual,1.0,0,"Columbus, WA"
14682.33,36,8.64,464.43,A,A1,Accountant,5.0,MORTGAGE,34015.51,Not Verified,Feb-2015,Fully Paid,debt_consolidation,Debt Consolidation,13.85,Nov-2003,4,0,8838.64,66.08,13,W,Joint,5.0,0,"Austin, MI"
9775.69,36,14.01,334.17,C,C3,HR Specialist,2.0,MORTGAGE,22853.98,Source Verified,Jul-2016,Fully Paid,moving,Moving,14.16,Nov-1997,9,0,2478.92,60.58,15,W,Individual,2.0,0,"Houston, NY"
40000.0,36,9.89,1288.61,B,B5,Warehouse Associate,1.0,MORTGAGE,178442.63,Not Verified,May-2019,Fully Paid,major_purchase,Major Purchase,0.0,Aug-1992,11,0,39164.75,35.54,22,W,Individual,1.0,0,"Raleigh, NY"
